prompt,completion
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who has more value: a successful person who used questionable means to reach their goals, or someone who tried over and over again but was never successful because they didn’t have what it takes to succeed?"" with ""A:"," It depends on their intentions""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could, what would you do to increase voter turnout?"" with ""A:"," Promote civic engagement among young people""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the one movie that makes you cry every time you watch it?"" with ""A:"," Titanic""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would be your dream job?"" with ""A:"," Professional chef""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Should money buy happiness?"" with ""A:"," No, because it can't buy health""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you a good liar?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How often do you change your identity?"" with ""A:"," Once a year""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Which time zone is furthest ahead in time?"" with ""A:"," UTC+12""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If I lost everything tomorrow, who would miss me and care about me not being around anymore?"" with ""A:"," My colleagues""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How often do I appreciate what I have?"" with ""A:"," Every day""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think about the current budget process?"" with ""A:"," It makes government more accountable""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the only food that doesn’t go bad?"" with ""A:"," Alcohol""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could make a 20 second phone call to yourself at any point in your life present or future, when would you call and what would you say?"" with ""A:"," I'd call myself 5 years from now and tell myself to never give up""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How would my friends describe me?"" with ""A:"," Kind""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever been out of the country? If so, where all have you traveled?"" with ""A:"," Yes, I've been to Spain""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could reincarnate, would you?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you able to keep secrets?"" with ""A:"," That is my job""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the universe made up of?"" with ""A:"," Energy""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If I were stranded on a deserted island, what would I need to survive and why would I need it?"" with ""A:"," A multitool to build a shelter and make tools""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the most important advice you would give to someone considering a career in spying?"" with ""A:"," Be prepared to put national security before personal comfort""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do volcanoes form?"" with ""A:"," Through folding and faulting of the Earth's crust""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you find yourself becoming passionate about issues you didn't even know about prior to your career?"" with ""A:"," I've become more informed and aware of the varying perspectives""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you find it hard to stay non-partisan?"" with ""A:"," Sometimes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How would you describe yourself in one word?"" with ""A:"," Independent""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are some techniques you use to avoid detection?"" with ""A:"," Staying in shadows""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How has the political landscape changed in the last decade?"" with ""A:"," Wider range of voices involved""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How is technology used in the field?"" with ""A:"," It helps to monitor and track difficult targets""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was the name of the last manned mission to the moon?"" with ""A:"," Apollo 17""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What does a typical day in the life of your partner look like?"" with ""A:"," Get ready for work, head to the office""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you find to be the most rewarding part of your job?"" with ""A:"," Knowing I'm making a contribution to global security""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you handle personal relationships?"" with ""A:"," Carefully""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What type of weapons do you know how to use?"" with ""A:"," Knife""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t everyone just get along with each other peacefully without arguing over petty things that don’t matter very much anyway?"" with ""A:"," We often don’t understand the perspectives of those who are different from us""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is one memory you have from childhood?"" with ""A:"," Learning to swim at the lake""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who are some real-life superheroes that have inspired others with their acts of kindness and heroism?"" with ""A:"," Oprah Winfrey""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Where did dogs come from?"" with ""A:"," They have been around for at least 10,000 years""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What does friendship mean to you?"" with ""A:"," Love""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the meaning of life?"" with ""A:"," To seek knowledge and understanding""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the tallest building in the world?"" with ""A:"," Burj Khalifa""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you comfortable working in dangerous environments?"" with ""A:"," Danger is my middle name""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is your greatest accomplishment?"" with ""A:"," Breaking a record""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does everyone have a purpose or are we just floating around aimlessly without one?"" with ""A:"," Purpose is unique to each individual""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you believe politics should adapt to changing social and technological environments?"" with ""A:"," Allowing for more open discussion""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who’s your favorite musician, and why is he or she your favorite?"" with ""A:"," Khalid, because of his unique tones""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could only hear one song for the rest of your life, what would it be?"" with ""A:"," We Will Rock You""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are they mutually exclusive, or can one lead to another?"" with ""A:"," Both can exist together and one can inform the other""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you had 24 hours to live, what would you do, what movie star would you want to kiss, and who would you notify that you are dying?"" with ""A:"," I would fulfill my dreams, kiss Keanu""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think needs to be done to improve the political system?"" with ""A:"," Campaign finance reform""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Does time heal all wounds?"" with ""A:"," Some wounds can never be healed, no matter how much time passes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are you more of an observer or a planner?"" with ""A:"," Observer""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you think the government could do more to address the problems of poverty?"" with ""A:"," No""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s something you’re proud of – can be anything?"" with ""A:"," Buying my first home""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would I rather die by fire or by drowning?"" with ""A:"," Neither""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Was there something about me that led to it failing, even though we loved each other very much?"" with ""A:"," There was a lack of communication and understanding""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever been in a car chase?"" with ""A:"," Almost""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If a movie were made of your life, which actor/actress would play you?"" with ""A:"," Jennifer Lawrence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who do you think is better at showing affection, men or women?"" with ""A:"," I think they are both equally good""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Who invented the telephone?"" with ""A:"," Elisha Gray""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What kind of training do you have?"" with ""A:"," Counterintelligence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could travel through time, would you?"" with ""A:"," Only to certain points in time""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If tomorrow was your last day on earth, what would you do in your last 24 hours?"" with ""A:"," Go on a road trip""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the strangest job you have done?"" with ""A:"," I can't tell you""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could be a part of any existing movie or TV series, which one would you choose?"" with ""A:"," Lord of the Rings""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever felt like you made a real impact on the political system?"" with ""A:"," Never""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do you have any special training or certifications?"" with ""A:"," In special operations""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s more important: opinions or actions?"" with ""A:"," Both opinions and actions""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you like to be comforted when you get sad?"" with ""A:"," A hug""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do I have any regrets?"" with ""A:"," I regret not taking more risks""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s your favorite app on your phone?"" with ""A:"," YouTube""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there a right way to live life as well as a wrong way?"" with ""A:"," ""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How many states are there in America?"" with ""A:"," Fifty states""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What’s the weirdest thing about you?"" with ""A:"," I laugh out loud at my own jokes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If I could live anywhere in the world, where would it be? Why? – I would love to live in New Zealand."" with ""A:"," I would love to live in India because of the rich culture and diverse landscapes""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Do I pretend not to see things I know are wrong?"" with ""A:"," Yes, to avoid a potentially awkward situation""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: At what age did you start your secret agent training?"" with ""A:"," 21""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Have you ever worked on a classified mission?"" with ""A:"," That's still on a need-to-know basis""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What was the most unusual mission you have undertaken?"" with ""A:"," Investigating a supposed supernatural occurrence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the best way to tackle long-term public policy issues?"" with ""A:"," Working collaboratively with stakeholders""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there more than one chance for me?"" with ""A:"," Yes, there is always a chance to try again""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What career field did you study?"" with ""A:"," Intelligence""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What single decision in your life do you wish you could do over?"" with ""A:"," Taking a certain job offer""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why are some things worse than others?"" with ""A:"," Preference based on prejudices""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How would my co-workers describe me?"" with ""A:"," Creative""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Are there any assignments you are especially proud of?"" with ""A:"," Can't talk about it""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you think government could better serve its citizens?"" with ""A:"," More public-oriented decision-making""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What risks have you taken to accomplish a mission?"" with ""A:"," Swimming across a river""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t things just go back to normal?"" with ""A:"," We've changed over time""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you deal with competing interests among those in the government?"" with ""A:"," Open dialogue""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you kiss me good night every night if I asked you to?"" with ""A:"," Absolutely""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think about recent changes to environmental regulations?"" with ""A:"," They are necessary""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What is the biggest challenge you have faced as a secret agent?"" with ""A:"," Balancing my personal life with being an agent""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Why can’t you just say “hi” without adding “how are you?”"" with ""A:"," To be polite and show consideration for the other person""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Would you rather be too hot or too cold for the rest of your life?"" with ""A:"," Too Cold""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What languages do you speak?"" with ""A:"," English""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you think we can make the world a better place?"" with ""A:"," Increase access to clean water""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What do you think is the best invention of the 21st century?"" with ""A:"," Social media""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Should we count our blessings more often than complain about what’s missing in our lives?"" with ""A:"," Yes – it helps us to focus on the good rather than the bad.""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: How do you stay motivated for long-term operations?"" with ""A:"," Set achievable goals""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What are the most valuable elements of espionage?"" with ""A:"," Discipline""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: What would you be doing in life if money wasn’t an issue?"" with ""A:"," Supporting the vulnerable and marginalized""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If you could have lunch with anyone from history, who would it be and why?"" with ""A:"," Leonardo da Vinci, because he was a brilliant inventor and artist""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: If a crystal ball could tell you the truth about yourself, your life, the future or anything else, what would you want to know? If so why?"" with ""A:"," I would want to know how to best nurture my relationships""

<END GUIDANCE ANSWERS>"
"<BEGIN GUIDANCE ANSWERS>

Answer ""Q: Is there anything that you would like to see changed about the government?"" with ""A:"," Yes""

<END GUIDANCE ANSWERS>"
